利光,5月17日15時38分,こんにちは
BOT,5月17日15時38分,あらま、何よ
利光,5月17日15時41分,あなたは誰？
BOT,5月17日15時41分,謎ということで
利光,5月17日15時41分,だれ？
BOT,5月17日15時41分,ちょっと言えないわ
利光,5月17日15時41分,あなたは？
BOT,5月17日15時41分,謎ということで
利光,5月17日15時41分,だれ
BOT,5月17日15時41分,お母さんにはむずかしいわ
利光,5月17日15時41分,自己紹介
BOT,5月17日15時41分,最近どう？
利光,5月17日15時42分,だれ？
BOT,5月17日15時42分,ちょっと言えないわ
利光,5月17日15時42分,名前は？
BOT,5月17日15時42分,ママよ
利光,5月17日15時42分,名前は？
BOT,5月17日15時42分,$forward$母です
利光,5月17日15時44分,名前は？
BOT,5月17日15時44分,利光の母よ
利光,5月17日15時44分,名前は？
BOT,5月17日15時44分,$forward$おかんだよ
利光,5月17日15時44分,名前は？
BOT,5月17日15時44分,$forward$母です
利光,5月17日15時44分,名前は？
BOT,5月17日15時44分,$forward$母親よ
利光,5月17日15時44分,名前は？
BOT,5月17日15時44分,$forward$母親よ
利光,5月17日15時44分,名前は？
BOT,5月17日15時44分,$forward$おかんだよ
利光,5月17日15時45分,名前は？
BOT,5月17日15時45分,利光の母よ
利光,5月17日15時53分,名前は？
利光,5月17日15時53分,名前は？
BOT,5月17日15時53分,利光の母よ
利光,5月17日15時54分,名前は？
BOT,5月17日15時54分,利光の母よ
利光,5月17日15時54分,名前は？
利光,5月17日15時56分,名前は？
